arch,bin,func,depth
amd64,rm,sym.xreallocarray,0
amd64,dd,dbg.xstrcat,0
amd64,rm,fcn.00002ad0,2
amd64,dd,sym.quotearg_n_style_colon,2
amd64,rm,sym.quotearg_n_options,4
amd64,dd,dbg.verror,2
amd64,rm,dbg.excise,0
amd64,dd,dbg.version_etc_arn,0
amd64,rm,sym.quotearg_n_style_colon,2
amd64,rm,dbg.hard_locale,3
amd64,dd,sym.operand_matches,2
amd64,dd,sym.quotearg_char,2
amd64,rm,dbg.x2realloc,0
amd64,dd,dbg.usage,0
amd64,rm,dbg.quotearg_free,4
amd64,rm,sym.leave_dir,6
amd64,dd,sym.xireallocarray,2
amd64,rm,sym.compute_bucket_size.isra.0,0
amd64,rm,dbg.xstrdup,2
amd64,dd,dbg.set_program_name,5
amd64,rm,dbg.get_root_dev_ino,2
amd64,dd,dbg.ximemdup,2
amd64,rm,sym.hash_insert_if_absent,0
amd64,rm,dbg.main,0
amd64,rm,dbg.mfile_name_concat,4
amd64,rm,dbg.rpl_fclose,0
amd64,rm,sym.xmalloc,2
amd64,rm,dbg.cycle_check,0
amd64,rm,sym.quotearg_style_mem,2
amd64,rm,dbg.xpalloc,0
amd64,rm,dbg.i_ring_push,2
amd64,rm,dbg.file_name_concat,2
amd64,rm,sym.quotearg_style,2
amd64,rm,dbg.close_stdout,0
amd64,rm,sym.hash_get_first,5
amd64,rm,sym.quotearg_char_mem,2
amd64,tty,fcn.00002520,2
amd64,rm,sym.ximalloc,2
amd64,tty,sym.quotearg_style_mem,2
amd64,tty,dbg.xirealloc,2
amd64,rm,sym.hash_get_next,4
amd64,rm,dbg.base_len,3
amd64,tty,dbg.version_etc,0
amd64,rm,sym.cwd_advance_fd,0
amd64,tty,sym.quotearg_custom_mem,2
amd64,tty,dbg.quotearg_colon_mem,2
amd64,dd,dbg.printf_parse,0
amd64,rm,dbg.fts_alloc,2
amd64,rm,dbg.xcharalloc,2
amd64,tty,dbg.quotearg_colon,2
amd64,dd,dbg.xpalloc,0
amd64,rm,sym.fts_palloc,3
amd64,tty,sym.xicalloc,2
amd64,dd,dbg.copy_with_block,11
amd64,dd,dbg.argmatch_valid,4
amd64,rm,sym.i_ring_pop,2
amd64,tty,sym.quotearg_n_style_colon,2
amd64,tty,sym._init,2
amd64,rm,entry.fini0,4
amd64,tty,dbg.rpl_fflush,2
amd64,dd,dbg.print_xfer_stats,4
amd64,dd,dbg.ifstat,2
amd64,tty,sym.quotearg_n_custom_mem,2
amd64,dd,dbg.xcharalloc,2
amd64,tty,sym.quotearg_n_style,2
amd64,tty,sym.quotearg_style,2
amd64,dd,sym.quotearg_n_options,4
amd64,tty,dbg.x2realloc,0
amd64,dd,sym.alloc_ibuf.part.0,2
amd64,tty,sym.gettext_quote.part.0,0
amd64,dd,dbg.process_signals,0
amd64,tty,sym.quotearg_char_mem,2
amd64,dd,dbg.invalidate_cache,0
amd64,tty,sym.xrealloc,0
amd64,dd,dbg.locale_charset,2
amd64,dd,entry.init0,2
amd64,dd,sym.xrealloc,0
amd64,dd,dbg.print_stats,6
amd64,dd,dbg.ximemdup0,2
amd64,dd,dbg.copy_with_unblock,0
amd64,dd,sym.x2nrealloc,0
amd64,dd,dbg.quotearg_free,4
amd64,dd,dbg.argmatch_to_argument,4
amd64,dd,sym.argmatch_exact,4
amd64,dd,sym.xcalloc,2
amd64,dd,dbg.close_stream,0
amd64,dd,dbg.xvasprintf,0
amd64,rm,dbg.fts_build,0
amd64,dd,dbg.gethrxtime,2
amd64,dd,sym.verror_at_line,4
amd64,dd,dbg.skip,0
amd64,dd,dbg.current_timespec,2
amd64,dd,sym.xicalloc,2
amd64,dd,sym.alloc_obuf.part.0,2
amd64,dd,dbg.printf_fetchargs,8
amd64,dd,sym.iwrite.constprop.0,0
amd64,dd,dbg.xinmalloc,2
amd64,dd,dbg.rpl_vasprintf,3
amd64,dd,dbg.xnrealloc,0
amd64,dd,sym.xmemdup,2
amd64,dd,dbg.nl_error,4
amd64,dd,dbg.rpl_fclose,0
amd64,dd,dbg.__xargmatch_internal,0
amd64,dd,dbg.parse_symbols,0
amd64,dd,dbg.human_readable,0
amd64,dd,dbg.x2realloc,0
amd64,dd,sym.xmalloc,2
amd64,dd,dbg.argmatch_invalid,2
amd64,dd,sym.quotearg_n_custom,2
amd64,dd,sym.quotearg_n_style,2
amd64,dd,sym._init,2
amd64,dd,dbg.quotearg_colon_mem,2
amd64,dd,sym.quotearg_style,2
amd64,tty,sym.quotearg_buffer_restyled,0
amd64,tty,sym.xcalloc,2
amd64,tty,sym.quotearg_n_options,4
amd64,tty,dbg.xpalloc,0
amd64,tty,dbg.rpl_mbrtowc,2
amd64,tty,dbg.xinmalloc,2
amd64,tty,dbg.quotearg_alloc_mem,2
amd64,tty,dbg.xcharalloc,2
amd64,tty,dbg.xizalloc,2
amd64,tty,dbg.setlocale_null_r,0
amd64,tty,dbg.xstrdup,2
amd64,tty,dbg.set_program_name,5
amd64,tty,entry.fini0,4
amd64,tty,sym.ximalloc,2
amd64,tty,dbg.quotearg_free,4
amd64,tty,dbg.xzalloc,2
amd64,tty,dbg.xnmalloc,2
amd64,tty,sym.set_custom_quoting,1
amd64,tty,dbg.version_etc_arn,0
amd64,tty,sym.version_etc_va,0
amd64,tty,dbg.locale_charset,2
amd64,tty,sym.quotearg_custom,2
amd64,tty,sym.xmalloc,2
amd64,tty,dbg.ximemdup0,2
amd64,tty,sym.quotearg_n_custom,2
amd64,tty,dbg.rpl_fclose,0
amd64,tty,dbg.version_etc_ar,4
amd64,tty,entry.init0,2
amd64,tty,dbg.close_stdout,0
amd64,tty,sym.x2nrealloc,0
amd64,tty,sym.quotearg_char,2
amd64,tty,dbg.ximemdup,2
amd64,tty,dbg.usage,0
amd64,tty,sym.xireallocarray,2
amd64,tty,dbg.rpl_fseeko,4
amd64,tty,dbg.xnrealloc,0
